cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,trn,trnipcoc,trnusgov,trnmuni,trncbo,trnfcfg,trnfc,trnfg
"4664","52228","840251","1141722","Home Bank and Trust Company","Eureka","KS","67045","6/30/2012","8/19/2019","NM","217 North Main Street","GREENWOOD COUNTY FINANCIAL SERVICES, INC.","6","0","0","4","1","Greenwood","","","8/4/1904","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","http://www.homebank-trust.com","29608","27461","0","2147","0","0","0","0"
"5629","0","596642","3029196","Home Bank of Arkansas","Portland","AR","71663","6/30/2012","8/19/2019","NM","113 Highway 165 South","PEOPLES HOME HOLDING, INC","6","0","0","4","0","Ashley","","","1/23/1908","1/1/1934","5/5/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","http://www.homebankofar.com","11110","10624","0","486","0","0","0","0"
"26271","15532","118660","3680962","Home Bank of California","San Diego","CA","92109","6/30/2012","8/19/2019","NM","875 Garnet Avenue","LA JOLLA PACIFIC BANCORP","1","0","0","4","1","San Diego","41740","San Diego-Carlsbad, CA","10/31/1981","6/3/1985","4/23/2013","Stock","0","0","FDIC","DIF","San Francisco","KANSAS CITY","Orange","San Francisco","Western","Western","0","1","https://www.hbc.bank","2242","2240","1","1","0","0","0","0"
"29881","4255","1015270","0","Home Bank SB","Martinsville","IN","46151","6/30/2012","8/19/2019","SA","59 West Washington Street","","3","0","0","5","0","Morgan","26900","Indianapolis-Carmel-Anderson, IN","1/1/1890","1/4/1955","7/21/2011","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.homebanksb.com","51909","47450","0","4459","0","0","0","0"
"9196","13733","138556","2525048","Home Banking Company","Selmer","TN","38375","6/30/2012","8/19/2019","NM","795 Poplar Avenue","HOME BANCSHARES, INC.","4","0","1","7","0","Mcnairy","","","3/15/1915","1/1/1934","10/19/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","http://www.homebankingco.com","24700","18880","0","5820","0","0","0","0"
"28554","1830","605973","2589406","Home City Federal Savings Bank of Springfield","Springfield","OH","45503","6/30/2012","8/19/2019","SA","2454 North Limestone Street","HOME CITY FINANCIAL CORPORATION","2","0","0","4","0","Clark","44220","Springfield, OH","1/1/1925","4/13/1935","12/6/2018","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","","20559","20305","1","253","0","0","0","0"
"8884","11575","852357","1056910","Home Exchange Bank","Jamesport","MO","64648","6/30/2012","8/19/2019","NM","220 South Broadway","COUNTRY BANCSHARES, INC.","3","0","0","2","1","Daviess","","","5/29/1925","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.bankheb.com","20422","19142","1","1278","1","0","0","0"
"28092","887","843177","2500700","Home Federal Bank","Sioux Falls","SD","57104","6/30/2012","8/19/2019","SA","Main Ave At 11th Street","HF FINANCIAL CORP.","28","0","1","4","0","Minnehaha","43620","Sioux Falls, SD","1/1/1929","5/16/1938","2/24/2015","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","","122126","64471","0","57655","0","0","0","0"
"28258","1245","1014077","3843057","Home Federal Bank","Nampa","ID","83651","6/30/2012","8/19/2019","NM","500 12th Avenue South","HOME FEDERAL BANCORP, INC.","30","0","1","4","0","Canyon","14260","Boise City, ID","1/1/1920","9/25/1936","5/16/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","Western","0","1","","86746","85936","0","773","0","37","0","37"
"27654","57","804374","4253121","Home Federal Bank","Shreveport","LA","71101","6/30/2012","8/19/2019","SA","624 Market St","HOME FEDERAL BANCORP, INC. OF LOUISIANA","4","0","0","4","0","Caddo","43340","Shreveport-Bossier City, LA","1/1/1924","11/17/1934","5/27/2015","Stock","0","0","OCC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","www.hfbla.com","42067","42058","0","9","0","0","0","0"
"31236","6586","902672","3066977","Home Federal Bank Corporation","Middlesboro","KY","40965","6/30/2012","8/19/2019","NM","1602-08 E. Cumberland Ave.","HFB FINANCIAL CORPORATION","6","0","1","4","0","Bell","","","1/1/1920","6/19/1961","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.homefederalbank.com","48989","46421","0","2568","0","0","0","0"
"34652","14725","2728746","3838259","Home Federal Bank of Hollywood","Hallandale Beach","FL","33009","6/30/2012","8/19/2019","SA","900 North Federal Highway","HOME BANCGROUP INC.","1","0","0","4","0","Broward","33100","Miami-Fort Lauderdale-West Palm Beach, FL","9/8/1998","9/8/1998","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","www.homefed.bank","7199","7199","0","0","0","0","0","0"
"29683","3879","105473","0","Home Federal Bank of Tennessee","Knoxville","TN","37901","6/30/2012","8/19/2019","SA","515 Market Street","","23","0","0","9","0","Knox","28940","Knoxville, TN","6/15/1936","6/15/1936","7/21/2011","Non-Stock","0","1","OCC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.homefederalbanktn.com","167493","145664","42","21787","0","0","0","0"
"31774","7450","582878","0","Home Federal Savings and Loan Association","Bamberg","SC","29003","6/30/2012","8/19/2019","SA","2990 Main Highway","","1","0","0","5","0","Bamberg","","","1/1/1920","1/16/1976","7/21/2011","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","0","0","0","0","0","0","0","0"
"29877","4246","1011076","4303969","Home Federal Savings and Loan Association","Ashland","KY","41101","6/30/2012","8/19/2019","SA","1500 Carter Ave","POAGE BANKSHARES, INC.","6","0","0","5","0","Boyd","26580","Huntington-Ashland, WV-KY-OH","1/1/1889","8/2/1937","3/18/2014","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","41516","41516","0","0","0","0","0","0"
"27909","528","682479","0","Home Federal Savings and Loan Association of Collinsville","Collinsville","IL","62234","6/30/2012","8/19/2019","SA","100 East Clay Street","","2","0","0","5","0","Madison","41180","St. Louis, MO-IL","1/1/1887","10/25/1939","5/1/2013","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.besthometownbank.com","4313","4313","0","0","0","0","0","0"
