ZIP,Latitude,Longitude
93279,36.2985,-119.3403
93277,36.2954,-119.381
93276,35.2981,-119.3503
93274,36.1841,-119.3722
93257,35.9686,-118.7977
93245,36.2924,-119.843
93241,35.2532,-118.9123
93239,35.974,-119.8107
93230,36.2734,-119.6007
93227,36.3511,-119.4192
93221,36.2869,-119.0312
93215,35.7794,-119.2272
93212,36.0657,-119.5455
93210,36.1917,-120.4224
93203,35.0826,-118.8097
93160,34.4496,-119.8013
93117,34.5059,-120.1496
93111,34.4519,-119.8037
93110,34.4374,-119.7706
93109,34.4083,-119.7173
93108,34.437,-119.6214
93105,34.5152,-119.7536
93103,34.4342,-119.6917
93101,34.4195,-119.6964
93065,34.2695,-118.7815
93063,34.301,-118.681
93036,34.2545,-119.1589
93035,34.1937,-119.221
93033,34.1516,-119.1373
93030,34.2052,-119.1755
93023,34.513,-119.3076
93021,34.3135,-118.8768
93015,34.4189,-118.8446
93014,34.3989,-119.5175
93013,34.7123,-119.6783
93012,34.2056,-118.9965
93010,34.2366,-119.0684
93003,34.2862,-119.2166
93001,34.3386,-119.2856
92887,33.8872,-117.7298
92886,33.8922,-117.8035
92883,33.7517,-117.4845
92882,33.8321,-117.6033
92881,33.8352,-117.4993
92880,33.9119,-117.6319
92879,33.8786,-117.5385
92878,33.9022,-117.6062
92877,33.8759,-117.5634
92870,33.8821,-117.8536
92869,33.8003,-117.7724
92868,33.7866,-117.8771
92867,33.8139,-117.8467
92866,33.7863,-117.8438
92865,33.8286,-117.8498
92860,33.9301,-117.5531
92845,33.7864,-118.0263
92844,33.7628,-117.968
92843,33.7542,-117.9464
92841,33.7853,-117.9722
92840,33.7837,-117.9275
92835,33.9023,-117.915
92834,33.8849,-117.9281
92833,33.878,-117.959
92832,33.8722,-117.9276
92831,33.8722,-117.8965
92823,33.9244,-117.7855
92822,33.9167,-117.8992
92821,33.9256,-117.8834
92816,33.8393,-117.8833
92812,33.8177,-117.9276
92808,33.8455,-117.7309
